groupe_num,referentialCode,economicRole,processName,article,band,criticalityDivergent,exactDuplicates,questionCount,questions_keys,questions_texts
107,MDR,fabricant,Conformity assessment,Art. 52,mid,true,non,2,Q-MDR-CA-6183 | Q-MDR-CA-8311,"Montrez-moi, sur un cas réel récent, comment voie d’évaluation de conformité sélectionnée selon classe et type de dispositif est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par voie d’évaluation de conformité sélectionnée selon classe et type de dispositif : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
108,MDR,fabricant,Évaluation clinique,Art. 61,mid,false,non,3,Q-MDR-EC-6441 | Q-MDR-EC-1984 | Q-MDR-EC-5618,"Montrez-moi, sur un cas réel récent, comment évaluation clinique fondée sur données cliniques suffisantes et mise à jour sur cycle de vie est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par évaluation clinique fondée sur données cliniques suffisantes et mise à jour sur cycle de vie : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que évaluation clinique fondée sur données cliniques suffisantes et mise à jour sur cycle de vie est réellement mise en œuvre et pas seulement documentée."
109,MDR,fabricant,Investigations cliniques,Art. 62-80,high,false,oui,3,Q-MDR-IC-4353 | Q-MDR-IC-6966 | Q-MDR-IC-8284,"Sortez le dernier cas concerné par investigations cliniques planifiées, autorisées, conduites et reportées si nécessaires et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez investigations cliniques planifiées, autorisées, conduites et reportées si nécessaires et prouvez-le par les dates. || Sortez le dernier cas concerné par investigations cliniques planifiées, autorisées, conduites et reportées si nécessaires et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
110,MDR,assembleur,PMS,Art. 83,low,false,non,3,Q-MDR-P-8644 | Q-MDR-P-2278 | Q-MDR-P-2575,"Votre système de surveillance après commercialisation (article 83) doit être « proportionné à la classe de risque et adapté au type de dispositif », et ses données doivent SERVIR : l'article 83(3) liste les utilisations obligatoires — mise à jour du bénéfice/risque, de la conception, de l'évaluation clinique, du SSCP, détection de tendances. Prenez votre plan PMS : montrez-moi la proportionnalité (en quoi le plan d'un classe IIb diffère-t-il de celui d'un classe I chez vous ?), puis une donnée PMS de l'année écoulée pour CHAQUE utilisation du 83(3) qu'elle a alimentée — ou la justification qu'aucune mise à jour n'était nécessaire. || Déroulez un cas concret concerné par système de surveillance après commercialisation proportionné et intégré au SMQ : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que système de surveillance après commercialisation proportionné et intégré au SMQ est réellement mise en œuvre et pas seulement documentée."
111,MDR,fabricant,Plan PMS,Art. 84,high,false,oui,3,Q-MDR-PP-6472 | Q-MDR-PP-8047 | Q-MDR-PP-2250,"Prenez la dernière action corrective liée à plan PMS documenté, actif, relié aux risques, clinique et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur plan PMS documenté, actif, relié aux risques, clinique et CAPA a réellement empêché le problème de revenir. || Prenez la dernière action corrective liée à plan PMS documenté, actif, relié aux risques, clinique et CAPA : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance."
112,MDR,fabricant,Rapport PMS,Art. 85,low,false,non,3,Q-MDR-RP-5018 | Q-MDR-RP-1384 | Q-MDR-RP-7041,"Pour vos dispositifs de classe I, l'article 85 exige un rapport de surveillance après commercialisation résumant résultats et conclusions des analyses de données PMS, avec la justification et la description de toute action préventive ou corrective prise, mis à jour « si nécessaire » et tenu à la disposition de l'autorité. Montrez-moi le rapport d'un classe I : sa date, les données analysées, ses conclusions, et surtout votre définition de « si nécessaire » — quels événements déclenchent chez vous une mise à jour ? Si le rapport a trois ans, démontrez-moi qu'aucun déclencheur n'est survenu depuis. || Déroulez un cas concret concerné par rapport PMS établi pour classes applicables et exploité : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ? || Prouvez-moi, sur un exemple de votre choix des trois derniers mois, que rapport PMS établi pour classes applicables et exploité est réellement mise en œuvre et pas seulement documentée."
113,MDR,fabricant,Vigilance incidents graves/FSCA,Art. 87,high,false,oui,3,Q-MDR-VIGF-1884 | Q-MDR-VIGF-6541 | Q-MDR-VIGF-0175,"Sortez le dernier cas concerné par déclaration des incidents graves et actions correctives de sécurité terrain dans les délais applicables et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez déclaration des incidents graves et actions correctives de sécurité terrain dans les délais applicables et prouvez-le par les dates. || Sortez le dernier cas concerné par déclaration des incidents graves et actions correctives de sécurité terrain dans les délais applicables et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
114,MDR,fabricant,Trend reporting,Art. 88,high,false,oui,3,Q-MDR-TR-2051 | Q-MDR-TR-8417 | Q-MDR-TR-8120,"Sortez le dernier cas concerné par analyse et déclaration des tendances significatives d’incidents ou effets indésirables et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez analyse et déclaration des tendances significatives d’incidents ou effets indésirables et prouvez-le par les dates. || Sortez le dernier cas concerné par analyse et déclaration des tendances significatives d’incidents ou effets indésirables et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
115,MDR,fabricant,Analyse incidents/FSCA,Art. 89,high,false,oui,3,Q-MDR-AIF-2845 | Q-MDR-AIF-2405 | Q-MDR-AIF-0786,"Sortez le dernier cas concerné par investigation, analyse et suivi des incidents graves et FSCA et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez investigation, analyse et suivi des incidents graves et FSCA et prouvez-le par les dates. || Sortez le dernier cas concerné par investigation, analyse et suivi des incidents graves et FSCA et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
116,MDSAP,fabricant participant MDSAP,Medical Device Adverse Events and Advisory Notices Reporting,,mid,false,non,2,Q-MDSAP-MDAE-6758 | Q-MDSAP-MDAE-0392,"Sortez le dernier cas concerné par détection et décision de reportability selon juridictions AU/BR/CA/JP/US et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez détection et décision de reportability selon juridictions AU/BR/CA/JP/US et prouvez-le par les dates."
117,MDSAP,fabricant participant MDSAP,Medical Device Adverse Events and Advisory Notices Reporting,,mid,false,non,2,Q-MDSAP-MDAE-1652 | Q-MDSAP-MDAE-1539,"Sortez le dernier cas concerné par délais de déclaration, contenu des rapports et preuves de soumission et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez délais de déclaration, contenu des rapports et preuves de soumission et prouvez-le par les dates."
118,MDSAP,fabricant participant MDSAP,Medical Device Adverse Events and Advisory Notices Reporting,,high,false,oui,3,Q-MDSAP-MDAE-1373 | Q-MDSAP-MDAE-2948 | Q-MDSAP-MDAE-9314,"Sortez le dernier cas concerné par advisory notices, FSCA/recalls et communications autorités/clients maîtrisés et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ? || Montrez-moi, sur un cas daté, comment vous respectez advisory notices, FSCA/recalls et communications autorités/clients maîtrisés et prouvez-le par les dates. || Sortez le dernier cas concerné par advisory notices, FSCA/recalls et communications autorités/clients maîtrisés et reconstituons la chronologie : date de connaissance, décision, date d'action. Le délai a-t-il été tenu ?"
119,MDSAP,fabricant participant MDSAP,Medical Device Adverse Events and Advisory Notices Reporting,,low,false,non,3,Q-MDSAP-MDAE-1613 | Q-MDSAP-MDAE-7979 | Q-MDSAP-MDAE-7682,"Prenez votre dernier incident déclaré à une autorité : reconstituons la chronologie heure par heure si nécessaire — date de première connaissance par N'IMPORTE QUEL canal (hotline, commercial, réseau social, distributeur), date d'entrée dans le système qualité, date de qualification comme reportable, date de soumission. Comparez chaque intervalle aux délais de la juridiction concernée. Puis montrez-moi que ce même incident a mis à jour le dossier de risques et alimenté le PMS. || Montrez-moi la preuve que votre boucle incident → risque est fermée en tant que SYSTÈME, pas au cas par cas : sur les 24 derniers mois, réconcilions le registre des incidents avec l'historique de révision du dossier de gestion des risques. Chaque incident significatif doit avoir soit une révision du dossier de risques, soit une justification documentée de non-impact. Combien d'incidents, combien de révisions, combien de justifications — les comptes tombent-ils juste ? || Les décisions de NON-déclaration sont plus révélatrices que les déclarations. Sortez trois événements récents évalués « non reportables » : pour chacun, montrez-moi le raisonnement documenté critère par critère contre la définition réglementaire de chaque juridiction concernée, l'identité et la compétence de l'évaluateur, et la revue de cette décision par une seconde personne. Puis expliquez-moi votre mécanisme de rattrapage : si une information ultérieure invalide la décision, comment est-elle rouverte ?"
120,MDSAP,fabricant participant MDSAP,Device Marketing Authorization and Facility Registration,,mid,false,non,2,Q-MDSAP-DMAF-2705 | Q-MDSAP-DMAF-5720,"Choisissons un document soumis à autorisations de mise sur le marché et enregistrements établissement valides pour AU/BR/CA/JP/US : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que autorisations de mise sur le marché et enregistrements établissement valides pour AU/BR/CA/JP/US est respectée sur un enregistrement récent."
121,MDSAP,fabricant participant MDSAP,Device Marketing Authorization and Facility Registration,,mid,false,non,2,Q-MDSAP-DMAF-6417 | Q-MDSAP-DMAF-7992,"Montrez-moi, sur un cas réel récent, comment changements produit/site/étiquetage évalués pour impact autorisations et listings est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par changements produit/site/étiquetage évalués pour impact autorisations et listings : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
122,MDSAP,fabricant participant MDSAP,Device Marketing Authorization and Facility Registration,,mid,true,non,2,Q-MDSAP-DMAF-2068 | Q-MDSAP-DMAF-1123,"Choisissons un document soumis à dispositifs commercialisés cohérents avec licences, listings, certificats et dossiers techniques : montrez-moi sa version en vigueur, son approbation et le retrait des versions périmées. || Montrez-moi comment vous garantissez que dispositifs commercialisés cohérents avec licences, listings, certificats et dossiers techniques est respectée sur un enregistrement récent."
123,MDSAP,fabricant participant MDSAP,Design and Development,,high,false,oui,3,Q-MDSAP-DD-8592 | Q-MDSAP-DD-0167 | Q-MDSAP-DD-6533,"Choisissons un danger réel concerné par planification conception et interfaces entre exigences, risques, vérification et validation : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment planification conception et interfaces entre exigences, risques, vérification et validation relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par planification conception et interfaces entre exigences, risques, vérification et validation : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
124,MDSAP,fabricant participant MDSAP,Design and Development,,high,false,oui,3,Q-MDSAP-DD-7051 | Q-MDSAP-DD-9315 | Q-MDSAP-DD-0982,"Choisissons un danger réel concerné par entrées de conception incluant exigences utilisateur, réglementaires, sécurité/performance et risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment entrées de conception incluant exigences utilisateur, réglementaires, sécurité/performance et risques relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par entrées de conception incluant exigences utilisateur, réglementaires, sécurité/performance et risques : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
125,MDSAP,fabricant participant MDSAP,Design and Development,,high,false,oui,3,Q-MDSAP-DD-3825 | Q-MDSAP-DD-4122 | Q-MDSAP-DD-7756,"Ouvrons le dernier dossier de conception concerné par revues, vérification, validation et transfert conception réalisés sur preuves objectives : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation. || Prouvez-moi, sur un projet réel, que revues, vérification, validation et transfert conception réalisés sur preuves objectives a été appliquée et vérifiée, pas seulement planifiée. || Ouvrons le dernier dossier de conception concerné par revues, vérification, validation et transfert conception réalisés sur preuves objectives : montrez-moi la trace de bout en bout, entrées, revues, vérification, validation."
126,MDSAP,fabricant participant MDSAP,Design and Development,,high,false,oui,3,Q-MDSAP-DD-4161 | Q-MDSAP-DD-1089 | Q-MDSAP-DD-2102,"Choisissons un danger réel concerné par changements de conception évalués pour impact risque, production, labeling et autorisations marché : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment changements de conception évalués pour impact risque, production, labeling et autorisations marché relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par changements de conception évalués pour impact risque, production, labeling et autorisations marché : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
127,MDSAP,fabricant participant MDSAP,Design and Development,,high,false,oui,3,Q-MDSAP-DD-9660 | Q-MDSAP-DD-6706 | Q-MDSAP-DD-1719,"Choisissons un danger réel concerné par dossier de conception démontrant la traçabilité complète entrée-sortie-risque-validation : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment dossier de conception démontrant la traçabilité complète entrée-sortie-risque-validation relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par dossier de conception démontrant la traçabilité complète entrée-sortie-risque-validation : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
128,MDSAP,fabricant participant MDSAP,"Measurement, Analysis and Improvement",,mid,false,non,2,Q-MDSAP-MAI-1941 | Q-MDSAP-MAI-3309,"Prenez un fournisseur critique : montrez-moi comment collecte et analyse des données qualité issues production, audits, feedback, fournisseurs et surveillance est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que collecte et analyse des données qualité issues production, audits, feedback, fournisseurs et surveillance a été respectée avant utilisation du produit reçu."
129,MDSAP,fabricant participant MDSAP,"Measurement, Analysis and Improvement",,mid,false,oui,3,Q-MDSAP-MAI-4126 | Q-MDSAP-MAI-9065 | Q-MDSAP-MAI-8057,"Choisissons un danger réel concerné par traitement des réclamations et investigations proportionnées au risque : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment traitement des réclamations et investigations proportionnées au risque relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par traitement des réclamations et investigations proportionnées au risque : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
130,MDSAP,fabricant participant MDSAP,"Measurement, Analysis and Improvement",,low,false,non,2,Q-MDSAP-MAI-9447 | Q-MDSAP-MAI-8978,"Prenez une CAPA récente issue d'une réclamation : montrez-moi, dans le dossier CAPA lui-même, la trace de l'évaluation de reportabilité réglementaire pour CHAQUE juridiction MDSAP où le dispositif est commercialisé (FDA MDR 21 CFR 803, Santé Canada, TGA, ANVISA, PMDA selon vos marchés). Qui a fait cette évaluation, avec quelle grille de critères par juridiction, et dans quel délai par rapport à la prise de connaissance ? || Montrez-moi comment vous utilisez des techniques statistiques dans le processus CAPA : comment décidez-vous qu'une tendance de NC ou de réclamations franchit le seuil qui impose d'ouvrir une CAPA ? Sortez vos données de réclamations des 12 derniers mois : appliquez devant moi votre règle de seuil et montrez-moi que chaque franchissement a bien généré une CAPA — ou la justification documentée de ne pas en ouvrir."
131,MDSAP,fabricant participant MDSAP,"Measurement, Analysis and Improvement",,high,false,oui,3,Q-MDSAP-MAI-0861 | Q-MDSAP-MAI-3633 | Q-MDSAP-MAI-5208,"Choisissons un danger réel concerné par audits internes planifiés selon risques, changements et résultats précédents : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment audits internes planifiés selon risques, changements et résultats précédents relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par audits internes planifiés selon risques, changements et résultats précédents : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
132,MDSAP,fabricant participant MDSAP,Management,,mid,true,non,2,Q-MDSAP-M-1006 | Q-MDSAP-M-2185,"Prenez la dernière action corrective liée à responsabilité direction, conformité réglementaire et efficacité du SMQ selon approche processus : déroulez-la du déclencheur jusqu'à la preuve d'efficacité vérifiée à distance. || Montrez-moi comment vous prouvez que l'action prise sur responsabilité direction, conformité réglementaire et efficacité du SMQ selon approche processus a réellement empêché le problème de revenir."
133,MDSAP,fabricant participant MDSAP,Management,,high,false,oui,3,Q-MDSAP-M-9936 | Q-MDSAP-M-4558 | Q-MDSAP-M-3867,"Choisissons un danger réel concerné par politique, objectifs, planification qualité et ressources alignés sur risques et conformité : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment politique, objectifs, planification qualité et ressources alignés sur risques et conformité relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par politique, objectifs, planification qualité et ressources alignés sur risques et conformité : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
134,MDSAP,fabricant participant MDSAP,Management,,low,false,non,3,Q-MDSAP-M-9824 | Q-MDSAP-M-0121 | Q-MDSAP-M-3755,"Prenez le compte rendu de votre dernière revue de direction : pour chacune des sources d'entrée exigées — réclamations, résultats d'audits, performance fournisseurs, données PMS, état des CAPA, changements réglementaires des juridictions MDSAP — montrez-moi la donnée réellement présentée, puis la décision qu'elle a déclenchée. Je veux ensuite voir une entrée qui n'a déclenché AUCUNE décision : expliquez-moi pourquoi elle n'appelait pas d'action. || La revue de direction d'il y a deux cycles a nécessairement produit des décisions et des besoins en ressources. Prenez-en trois : montrez-moi pour chacune l'exécution réelle — budget engagé, personne recrutée, projet livré — et l'effet mesuré sur l'indicateur qui avait motivé la décision. Si une décision est restée lettre morte, montrez-moi où la revue suivante l'a constaté et ce qu'elle en a fait. || Le modèle d'audit MDSAP exploite les liaisons entre processus — et votre direction devrait faire de même. Montrez-moi un cas des 12 derniers mois où une information née dans UN processus (une réclamation, un audit fournisseur défavorable, une dérive de procédé) a déclenché une action dans un AUTRE processus (revue de conception, requalification fournisseur, revalidation) via un arbitrage de direction. Si vos processus ne se parlent qu'en revue annuelle, montrez-moi comment un signal urgent circule entre deux revues."
135,MDSAP,fabricant participant MDSAP,Management,,high,false,oui,3,Q-MDSAP-M-9017 | Q-MDSAP-M-4174 | Q-MDSAP-M-1076,"Choisissons un danger réel concerné par gestion des risques intégrée aux processus MDSAP et exigences juridictionnelles : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu. || Montrez-moi comment gestion des risques intégrée aux processus MDSAP et exigences juridictionnelles relie votre analyse de risques à une décision concrète sur le produit. || Choisissons un danger réel concerné par gestion des risques intégrée aux processus MDSAP et exigences juridictionnelles : déroulez son identification, son estimation, sa maîtrise et le risque résiduel retenu."
136,MDSAP,fabricant participant MDSAP,Country-specific requirements,,mid,true,non,2,Q-MDSAP-CSR-8134 | Q-MDSAP-CSR-2163,"Montrez-moi, sur un cas réel récent, comment exigences spécifiques TGA, ANVISA, Santé Canada, MHLW/PMDA et FDA intégrées dans l’audit est appliquée en pratique et où en est la preuve. || Déroulez un cas concret concerné par exigences spécifiques TGA, ANVISA, Santé Canada, MHLW/PMDA et FDA intégrées dans l’audit : quelle décision, par qui, sur quelle preuve, avec quel contrôle d'efficacité ?"
137,MDSAP,fabricant participant MDSAP,Production and Service Controls,,high,false,oui,3,Q-MDSAP-PSC-8101 | Q-MDSAP-PSC-6393 | Q-MDSAP-PSC-2032,"Prenez un dossier de lot récent : montrez-moi comment validation des procédés spéciaux et maîtrise des paramètres critiques est appliquée au poste, pas seulement décrite dans une procédure. || Déroulez la fabrication d'un lot et prouvez que validation des procédés spéciaux et maîtrise des paramètres critiques a été respectée et enregistrée. || Prenez un dossier de lot récent : montrez-moi comment validation des procédés spéciaux et maîtrise des paramètres critiques est appliquée au poste, pas seulement décrite dans une procédure."
138,MDSAP,fabricant participant MDSAP,Production and Service Controls,,mid,false,non,2,Q-MDSAP-PSC-6087 | Q-MDSAP-PSC-0279,"Prenez un dossier de lot récent : montrez-moi comment identification, traçabilité, statut produit et maîtrise des lots/séries est appliquée au poste, pas seulement décrite dans une procédure. || Déroulez la fabrication d'un lot et prouvez que identification, traçabilité, statut produit et maîtrise des lots/séries a été respectée et enregistrée."
139,MDSAP,fabricant participant MDSAP,Purchasing,,mid,false,non,2,Q-MDSAP-P-3849 | Q-MDSAP-P-3552,"Prenez un fournisseur critique : montrez-moi comment qualification et sélection fournisseurs selon impact sur sécurité/performance/conformité est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que qualification et sélection fournisseurs selon impact sur sécurité/performance/conformité a été respectée avant utilisation du produit reçu."
140,MDSAP,fabricant participant MDSAP,Purchasing,,mid,false,non,2,Q-MDSAP-P-2444 | Q-MDSAP-P-5981,"Prenez un fournisseur critique : montrez-moi comment contrats, exigences d’achat et notification des changements fournisseurs est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que contrats, exigences d’achat et notification des changements fournisseurs a été respectée avant utilisation du produit reçu."
141,MDSAP,fabricant participant MDSAP,Purchasing,,low,false,non,2,Q-MDSAP-P-2432 | Q-MDSAP-P-5993,"Prenez un fournisseur critique : montrez-moi comment surveillance fournisseurs, non-conformités fournisseurs et réévaluation est appliquée, de la sélection à la surveillance des performances. || Déroulez un cas d'achat récent et prouvez que surveillance fournisseurs, non-conformités fournisseurs et réévaluation a été respectée avant utilisation du produit reçu."
